1966,-2.20,-1.98,-2.70,-2.56,0.70,-0.35,-0.65,0.57,1.10,1.06,-0.50,-0.38
1967,-1.11,-1.10,-2.08,-2.25,1.14,1.18,2.89,4.14,3.79,3.63,3.41,4.07
1968,3.98,-0.84,-0.71,-0.73,-0.02,-0.71,-0.79,-0.94,-0.68,-0.86,-0.95,-0.96
1969,-0.84,-0.26,-0.74,0.66,0.96,0.79,0.75,0.89,0.93,1.11,0.83,1.79
1970,-0.66,-1.01,0.21,1.57,-0.28,0.35,-0.21,-0.23,-0.70,0.81,-0.40,-0.66
1971,0.14,1.02,0.00,-0.16,-0.12,-0.34,0.45,0.58,0.79,-0.40,-0.98,0.48
1972,0.91,-0.65,-0.65,-0.99,-0.92,0.16,1.08,0.91,1.41,1.60,1.89,2.15
1973,2.27,2.04,3.85,3.77,3.78,3.98,4.19,3.62,2.91,2.65,3.11,3.16
1974,4.30,4.23,3.22,2.88,3.47,3.52,3.40,3.52,3.57,3.00,2.87,2.99
1975,2.85,2.56,4.13,3.35,3.32,3.30,4.13,4.16,5.00,6.37,5.62,4.68
1976,3.88,3.05,2.84,1.63,1.98,2.62,2.48,2.34,2.60,3.15,-0.23,-0.54
1977,-0.84,-1.15,0.57,1.06,-0.61,-0.78,-1.55,-2.06,1.08,1.62,2.89,-0.54
1978,-0.80,-1.72,-1.72,-2.12,1.16,1.24,-0.13,-0.34,-0.77,-1.21,-1.39,0.37
1979,0.79,0.69,0.28,1.10,1.13,0.90,1.49,2.13,3.18,2.96,3.60,2.59
1980,2.21,1.23,3.27,3.21,3.91,-0.21,-0.77,-1.23,-0.33,-0.31,-0.03,-0.96
1981,-1.68,-1.94,-1.94,-2.25,-2.09,0.04,-0.07,0.74,-0.34,-0.13,-0.28,-0.61
1982,1.07,-0.01,-0.74,0.90,0.50,0.55,0.83,1.51,-0.48,-0.68,0.21,0.85
1983,0.20,0.29,0.21,2.08,3.84,3.89,-0.67,-1.32,-1.65,-1.97,0.77,2.00
1984,1.42,0.87,0.78,1.03,2.34,-0.18,-0.18,-0.39,-1.17,1.16,1.64,-0.79
1985,-0.96,-0.93,-1.70,-1.87,0.41,0.46,0.87,1.64,1.43,2.09,-0.59,-1.11
1986,-2.06,-2.22,-2.74,-3.59,0.31,0.85,0.50,1.20,1.39,1.71,2.95,2.55
1987,2.22,2.40,-0.49,-1.24,-1.98,-1.71,-2.15,-2.75,-1.99,-2.19,-1.89,-1.68
1988,-1.75,-2.27,-2.81,-2.45,-2.70,-3.48,-3.20,-3.86,0.85,1.15,1.70,1.36
1989,1.81,2.28,1.84,1.29,1.45,3.96,4.46,4.52,5.20,4.82,4.64,3.85
1990,3.82,4.22,4.21,3.80,3.86,-0.29,-0.46,-1.33,-1.80,-1.60,-1.69,2.66
1991,1.86,2.99,3.33,4.41,5.50,-0.33,-0.89,-1.09,-1.23,-1.43,-1.45,1.32
1992,-0.69,-1.09,-1.28,-1.73,-1.93,1.36,1.80,2.26,2.61,2.52,2.74,-0.01
1993,-0.26,-0.82,-0.39,-0.44,-0.02,-0.19,-1.05,0.38,0.99,0.66,0.56,0.48
1994,0.87,1.71,2.55,1.74,2.11,3.08,3.69,3.33,3.10,3.58,0.04,-0.45
1995,-0.54,-0.48,-0.96,-0.69,-0.78,-0.72,-0.90,-1.02,0.18,1.35,1.68,1.27
1996,1.66,-0.56,0.32,0.56,-0.79,-0.92,0.60,0.83,1.71,1.72,1.98,1.95
1997,2.05,1.67,1.28,1.07,1.63,3.64,2.71,3.03,3.16,4.11,3.53,2.92
1998,3.42,3.50,-0.25,-0.23,-0.31,-0.80,-0.58,-0.71,-1.59,-1.91,-2.12,0.39
1999,1.81,-0.62,-0.55,-0.94,0.26,1.20,-0.23,-1.10,-1.80,-2.17,-1.93,-2.24
2000,-2.14,-2.58,-2.53,-1.08,-1.99,-1.64,-2.30,-3.13,-3.47,-4.18,0.73,0.49
2001,0.67,0.64,0.47,0.27,0.94,2.03,2.04,2.60,2.93,3.24,-0.25,0.10
2002,0.26,-0.72,-0.42,-1.27,0.86,0.45,0.47,0.15,0.69,0.89,0.79,0.96
